"Secuencia","Codigo Producto","Producto","Ingles","Chino","Cantidad","Saldo","Costo","Fob","Fob Total"
"609","R200-080809","COMANDO IZQUIERDO","L.SWITCH ASSY","左开关组合","30","30","2.06","",""
"614","R200-080831","BARRA TELESCOPICA DERECHA","R．F．ABSORB OR","右前减震器","40","40","25.06","",""
"619","R200-080947NEG","LATERAL POSTERIOR IZQUIERDO SMX-8 2022","","","20","20","5.44","",""
"624","R200-081324","CATALINA 50D","","","50","50","4.56","",""
"629","R200-081708","CIGÜEÑAL","Crankshaft connecting rod assy","曲柄连杆组合","50","50","23.53","",""
"634","R200-091413","BOBINA DE ENCENDIDO","Ignition loop","点火线圈","100","100","1.56","",""
"639","R200-180220","ARBOL DE LEVA","Camshaft","","25","25","14.23","",""
"644","R200-180503","TEMPLADOR DE CADENILLA","TENSIONER","","20","20","3.94","",""
"649","R200-181604","DIRECCIONALDELANTERA","Turning Light LH","","60","60","2.75","",""
"654","R200-181620","VELOCIMETRO 2020","","","50","50","39.79","",""
"659","R200-181702","MANUBRIO DERECHO","Rubber, right handlebar","","60","60","0.88","",""
"664","R200-181715","MANIJA DE FRENO","","","25","25","7.18","",""
"669","R200-181821","COMPLEMENTO DE COBERTOR DE TANQUE DERECHO","Fuel tank inner big bracket, R","","200","200","1.68","",""
"674","R200-181833NEG","COBERTOR DE TANQUE DE COMBUSTIBLE NEW  RH","","","80","80","5.28","",""
"679","R200-181917","PARRILLA","","","50","50","13.83","",""
"684","R200-182002","LUZ STOP","Tail Light","","30","30","6.81","",""
"689","R200-182112","KIT DE PISTAS Y RODAMIENTO","Accessory Bag","","50","50","1.62","",""
"694","R200-182313","EJE DE OSCILANTE","","","10","10","1.93","",""
"699","R200-182601","ESCAPE","Exhaust Muffler Assy","","30","30","32.94","",""
"704","R200-182811","PORTA ZAPATA C/ ZAPATA","Rear Arrester Assy","","10","10","9.21","",""
"709","R200-6E0706","LUZ STOP","Taillight assy","","50","50","4.29","",""
"714","R200-6E1107NEG","GUARDAFANGO DELANTERO","Rear fender","","40","40","10.8","",""
"719","R200-6E1121NEG","COMPLEMENTO DE LATERAL POSTERIOR IZQUIERDO 2023","","","20","20","3.27","",""
